_id,FHRSID,ChangesByServerID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,Phone,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,scores,SchemeType,geocode,RightToReply,Distance,NewRatingPending,meta,links
668205d2f1611858090767d2,621707,0,PI/000025307,Charlie's,Other catering premises,7841,Oak Apple Farm Building 103 Sheernes Docks,Sheppy Kent,,,ME12,,4,fhrs_4_en-gb,2021-10-18T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 5, 'Structural': 10, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': 0.508551, 'latitude': 51.369321}",,4627.439467780196,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'https://api.ratings.food.gov.uk/establishments/621707'}]"
668205d2f161185809076af6,1130836,0,PI/000034075,Mv City Cruises Erasmus,Other catering premises,7841,Cherry Garden Pier,Cherry Garden Street Rotherhithe,Charlton,,TN4 8HR,,5,fhrs_5_en-gb,2021-05-14T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.249255999922752, 'latitude': 51.1236228942871}",,4627.8731788858,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1130836'}]"
668205d2f161185809077644,293783,0,PI/000002614,Benfleet Motor Yacht Club,Other catering premises,7841,Ferry Road,South Benfleet Essex,,,SS7 1NF,,4,fhrs_4_en-gb,2018-11-02T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 10}",FHRS,"{'longitude': 0.561954, 'latitude': 51.543831}",,4631.968418191259,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/293783'}]"
668205d2f161185809078447,1315095,0,PI/000036464,Coombs Catering t/a The Lock and Key,Restaurant/Cafe/Canteen,1,Leslie Ford House,Tilbury,Charlton,,RM18 7EH,,5,fhrs_5_en-gb,2020-12-04T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.346336990594864, 'latitude': 51.4640655517578}",,4636.846754121153,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1315095'}]"
668205d2f161185809078448,294474,0,PI/000014647,Tilbury Seafarers Centre,Restaurant/Cafe/Canteen,1,Tenants Row Tilbury Docks,Tilbury Essex,,,RM18 7EH,,5,fhrs_5_en-gb,2018-11-02T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.346325, 'latitude': 51.464078}",,4636.847649796817,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/294474'}]"
668205d2f161185809078b4b,294900,0,PI/000019066,Mv Valulla,Other catering premises,7841,Reeds River Cruises LtdKings ReachRiver ThamesSouthwark,London,,,RM15 5QY,,5,fhrs_5_en-gb,2016-08-23T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.287555, 'latitude': 51.504071}",,4640.460834256174,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/294900'}]"
668205d3f16118580907ac5f,293756,0,PI/000002538,Tereza Joanne,Other catering premises,7841,Funcraft UK Ltd King George V Dock Woolwich Manor Way,London,,,E16 2NJ,,5,fhrs_5_en-gb,2021-07-09T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': 0.069286, 'latitude': 51.501121}",,4648.301822363946,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/293756'}]"
668205d3f16118580907b025,878523,0,PI/000029844,Brick Lane Brews,Restaurant/Cafe/Canteen,1,Air side London City Airport,London,,,E16 2PX,,4,fhrs_4_en-gb,2019-01-18T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 10, 'Structural': 5, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': 0.048006, 'latitude': 51.503733}",,4649.1734848484375,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/878523'}]"
668205d3f16118580907b03a,293772,0,PI/000002585,The Nuance Group (UK) Limited,Retailers - other,4613,Duty Free Shop Passenger Terminal,London City AirportRoyal DocksLondon,,,E16 2PX,,5,fhrs_5_en-gb,2017-07-17T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.047966, 'latitude': 51.504112}",,4649.188825980348,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/293772'}]"
668205d3f16118580907b03d,294606,0,PI/000016185,WH Smith,Retailers - other,4613,London City Airport,Silvertown London,,,E16 2PX,,5,fhrs_5_en-gb,2017-07-17T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.0479655750095844, 'latitude': 51.5041122436523}",,4649.188850403149,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/294606'}]"
